Temps;Rayon normalise;Diametre;rayon;Aire;Int dens GFP;Background;CTCF;CTCF normalisee GFP;Int dens DAPI;Background;CTCF;CTCF normalisee DAPI;Ratio normalise
0;0.998407643;71.1645;35.58225;6539.07;727621.606;107.624;23860.73632;0.002888632;3481652.306;141.089;2559061.459;1;0.002888632
6.21;0.998407643;71.1645;35.58225;6539.07;728660.212;107.782;23866.16926;0.00288929;3481657.884;141.263;2557929.239;0.999557564;0.002890569
12.42;0.998407643;71.1645;35.58225;6539.07;729305.226;107.495;26387.89635;0.003194576;3479899.289;141.472;2554803.978;0.998336312;0.003199899
18.63;0.998407643;71.1645;35.58225;6539.07;729502.943;107.518;26435.21474;0.003200304;3470591.991;141.059;2548197.316;0.995754638;0.003213949
24.84;0.998407643;71.1645;35.58225;6539.07;727836.353;107.584;24337.04612;0.002946295;3433675.772;140.41;2515524.953;0.982987315;0.002997287
31.05;0.998407643;71.1645;35.58225;6539.07;873121.219;109.53;156896.8819;0.018994275;3323319.458;139.465;2411348.06;0.942278292;0.020157819
37.26;0.998407643;71.1645;35.58225;6539.07;1620050.499;119.75;836996.8665;0.101328649;2948114.361;134.89;2066059.209;0.807350367;0.125507652
43.47;0.998407643;71.1645;35.58225;6539.07;2898468.906;137.095;2001995.104;0.242365852;2593079.882;130.909;1737056.767;0.678786655;0.35705748
49.68;0.998407643;71.1645;35.58225;6539.07;4353560.274;155.834;3334550.84;0.403687928;2291197.588;127.708;1456106.036;0.569000026;0.709469086
55.89;1;71.278;35.639;6539.07;5598040.362;172.243;4471731.328;0.541357455;2037973.814;125.046;1220289.267;0.476850317;1.135277541
62.1;0.998407643;71.1645;35.58225;6539.07;6451017.088;183.178;5253203.324;0.635964143;1850759.91;123.308;1044440.266;0.408134108;1.558223461
68.31;1;71.278;35.639;6539.07;7029141.538;190.638;5782546.311;0.700047548;1711046.296;121.791;914646.4216;0.357414793;1.958641785
74.52;0.998407643;71.1645;35.58225;6539.07;7381287.597;194.953;6106476.283;0.73926321;1617994.505;120.927;827244.3871;0.323260852;2.286893715
80.73;0.998407643;71.1645;35.58225;6539.07;7572051.218;197.213;6282461.606;0.760568374;1554562.116;120.42;767127.3066;0.299769005;2.537181502
86.94;0.996815287;71.051;35.5255;6539.07;7751306.144;198.92;6450554.34;0.780918043;1517461.861;119.992;732825.7736;0.286365054;2.727001887
93.15;0.996815287;71.051;35.5255;6539.07;7890979.617;200.717;6578477.104;0.796404649;1487399.941;119.676;704830.1997;0.275425273;2.89154529
99.36;0.996815287;71.051;35.5255;6539.07;7990142.105;202.021;6669112.645;0.807377184;1469408.884;119.495;688022.7144;0.268857441;3.002993638
105.57;0.993630573;70.824;35.412;6539.07;8045532.388;202.496;6721396.869;0.813706825;1453137.762;119.543;671437.717;0.26237655;3.101294017
111.78;0.992038217;70.7105;35.35525;6539.07;8032577.608;200.691;6720245.111;0.813567391;1449966.796;119.402;669188.7599;0.261497729;3.111183389
117.99;0.99044586;70.597;35.2985;6539.07;8010646.592;200.103;6702159.068;0.811377855;1446562.133;119.267;666666.8713;0.260512255;3.114547741
124.2;0.988853503;70.4835;35.24175;6539.07;7996852.122;199.371;6693151.197;0.810287343;1449422.701;119.489;668075.7658;0.261062806;3.103802317
130.41;0.987261146;70.37;35.185;6539.07;8005820.72;199.729;6699778.808;0.811089696;1447966.62;119.259;668123.6709;0.261081526;3.106652961
136.62;0.98566879;70.2565;35.12825;6539.07;8066290.707;200.105;6757790.105;0.818112669;1451536.073;119.437;670529.1694;0.262021519;3.122310997
142.83;0.982484076;70.0295;35.01475;6539.07;7989467.539;199.135;6687309.835;0.809580175;1451165.953;119.093;672408.4895;0.262755897;3.081111342
149.04;0.98089172;69.916;34.958;6539.07;7993261.143;199.181;6690802.641;0.810003022;1452292.931;118.991;674202.4526;0.263456921;3.074517908
155.25;0.979299363;69.8025;34.90125;6539.07;8040929.147;199.671;6735266.501;0.815385913;1451054.818;118.953;673212.8243;0.263070206;3.099499278
161.46;0.977707006;69.689;34.8445;6539.07;8050132.227;199.356;6746529.388;0.816749422;1449271.863;119.16;670076.2818;0.261844544;3.119214967
167.67;0.97611465;69.5755;34.78775;6539.07;8028040.299;199.051;6726431.876;0.814316374;1444357.799;118.874;667032.3918;0.260655089;3.12411462
173.88;0.974522293;69.462;34.731;6539.07;7998101.881;198.434;6700528.065;0.811180402;1442815.987;118.985;664764.7431;0.259768964;3.12269946
180.09;0.97133758;69.235;34.6175;6539.07;8035617.91;198.979;6734480.3;0.815290733;1440833.704;118.944;663050.5619;0.259099116;3.146636491
186.3;0.969745223;69.1215;34.56075;6539.07;8006400.215;198.607;6707695.14;0.812048064;1440047.836;119.011;661826.5762;0.258620821;3.139917583
192.51;0.968152866;69.008;34.504;6539.07;7977491.901;198.305;6680761.625;0.808787435;1437821.267;118.794;661018.9854;0.25830524;3.131130569
